"article","V1"
"Adélie_penguin",0
"African_forest_elephant",0
"African_wild_dog",1
"Amur_leopard",1
"Arachnocampa",0
"Arctic_fox",0
"Atyopsis",0
"Bactrian_camel",0
"Baikal_seal",0
"Baikal_teal",0
"Bat_hawk",0
"Black_fly",0
"Black_stork",0
"Blood_pheasant",0
"Blue_whale",0
"Bongo_(antelope)",0
"Booby",0
"Bottlenose_dolphin",0
"Brown_fur_seal",0
"Capuchin_monkey",0
"Carangidae",0
"Cave_swiftlet",1
"Chimpanzee",0
"Chironomidae",0
"Cichlid",0
"Colugo",0
"Cougar",0
"Demoiselle_crane",0
"Dobsonfly",1
"Dromedary",0
"Dugong",0
"Dusky_dolphin",0
"Eider",0
"Elephant_seal",0
"Ethiopian_wolf",0
"Fennec_fox",0
"Frigatebird",0
"Giant_panda",0
"Giant_salamander",0
"Gila_woodpecker",0
"Golden_snub-nosed_monkey",0
"Great_white_shark",0
"Green_sea_turtle",0
"Grimpoteuthis",0
"Ground_tit",1
"Guanaco",0
"Himalayan_monal",0
"Howler_monkey",0
"Humpback_whale",0
"Impala",0
"Isopoda",0
"King_penguin",0
"Krill",0
"Lagopus",0
"Laticauda_colubrina",0
"Lechwe",0
"Lesser_florican",0
"Little_auk",0
"Lophius",0
"Mackerel_scad",0
"Majoidea",0
"Manta_ray",0
"Markhor",0
"Mongolian_gazelle",1
"Mugger_crocodile",0
"Musk_deer",0
"Muskox",0
"Mussel",0
"Nautilus",0
"Nile_crocodile",0
"Ocean_sunfish",0
"Opistognathidae",0
"Orangutan",0
"Pika",0
"Pilot_fish",0
"Platysaurus",0
"Plover",0
"Polar_bear",0
"Pygmy_hog",0
"Pygmy_seahorse",0
"Rainbow_runner",0
"Red-bellied_piranha",0
"Red-billed_quelea",0
"Red_kangaroo",1
"Red_panda",0
"Red_river_hog",0
"Remipedia",0
"Roseate_spoonbill",0
"Rufous-bellied_eagle",0
"Sailfish",0
"Salmon",0
"Salp",0
"Sand_dollar",0
"Sand_shark",0
"Sandhill_crane",0
"Sawtooth_eel",0
"Sea_lion",0
"Sea_spider",0
"Siamang",0
"Snow_goose",0
"Snow_petrel",0
"Snowfinch",0
"Socotra_cormorant",2
"Squat_lobster",0
"Squirrel_monkey",0
"Stingray",0
"Sunflower_sea_star",0
"Tamarin",0
"Texas_blind_salamander",0
"Tibetan_sand_fox",0
"Tragopan",0
"Vampire_squid",0
"Walia_ibex",0
"Walrus",0
"Waterfall_climbing_cave_fish",0
"Wattled_crane",0
"Whale_shark",0
"Wild_yak",0
"Wood_stork",0
"Yellow_goatfish",0
"Yellowfin_tuna",0
