article,V1
African_buffalo,950
Amitermes_meridionalis,4
Arctic_wolf,449
Atta_(genus),47
Bamboo_lemur,34
Barn_owl,861
Bison,1557
Bobcat,2555
Buller's_albatross,12
Butcherbird,125
Caiman,802
Capybara,2194
Caribou,857
Chinstrap_penguin,133
Christmas_Island_red_crab,174
Click_beetle,175
Colobinae,89
Colubridae,222
Corvidae,538
Coyote,3416
Crab,1618
Darkling_beetle,148
Deathstalker,324
Desert_long-eared_bat,5
Draco_(genus),103
Elephant,5236
Fairy_tern,20
Fire_ant,943
Flamingo,1406
Fox,3056
Giant_anteater,324
Giant_otter,426
Giraffe,3123
Glass_frog,157
Golden_eagle,1790
Golden_mole,81
Goldeneye_(duck),35
Great_bowerbird,10
Grizzly_bear,2596
Ground_squirrel,350
Harris's_hawk,243
Hawksbill_sea_turtle,356
Hummingbird,2118
Indri,106
Jackson's_widowbird,4
Jaguar,3947
Komodo_dragon,3432
Kori_bustard,160
Lagidium,14
Lemur,1392
Leopard,3046
Lion,7240
Lizard,1514
Locust,1147
Marine_iguana,275
Marmot,971
Micromys,10
Millipede,1135
Mouse,1345
Namaqua_chameleon,24
Noddy_(tern),7
Nubian_ibex,116
Oryx,442
Ostrich,2178
Pachydactylus_rangei,8
Pale_chanting_goshawk,13
Peregrine_falcon,1949
Pigeon,214
Pygmy_three-toed_sloth,96
Raccoon,3638
Railroad_worm,25
Rat,1894
Red_bird-of-paradise,28
Red_fox,2239
Rhesus_macaque,500
Rhinoceros,2326
Ring-tailed_lemur,427
River_dolphin,250
Saiga_antelope,300
Sandgrouse,50
Serval,1205
Seychelles_fody,4
Shearwater,102
Sifaka,107
Skua,221
Sloth_bear,875
Smooth-coated_otter,90
Snares_penguin,30
Snow_Leopard,137
Southern_African_vlei_rat,2
Southern_carmine_bee-eater,17
Spider,2426
Spider_monkey,632
Spotted_hyena,823
Squirrel,1822
Starling,652
Sword-billed_hummingbird,28
Termite,1551
Tiger,6975
Uroplatus,38
Vole,998
Wasp,2080
Wels_catfish,351
Wild_water_buffalo,289
Wildebeest,902
Wilson's_bird-of-paradise,38
Yellow_crazy_ant,160
Zebra,2100
