species,month,day,2017,start,end
Polar_bear,2,27,27-Feb,14/03/2016,12/02/2017
Sea_turtle,5,23,16-Jun,01/07/2016,01/06/2017
Giraffe,6,21,21-Jun,06/07/2016,06/06/2017
Tiger,7,29,29-Jul,13/08/2016,14/07/2017
Lion,8,10,10-Aug,25/08/2016,26/07/2017
Orangutan,8,19,19-Aug,03/09/2016,04/08/2017
Honey_bee,8,20,19-Aug,03/09/2016,04/08/2017
Rhinoceros,9,22,22-Sep,07/10/2016,07/09/2017
Pangolin,2,20,18-Feb,05/03/2016,03/02/2017
Whale_shark,8,30,30-Aug,14/09/2016,15/08/2017
Sloth,10,20,20-Oct,04/11/2016,05/10/2017
Vulture,9,3,02-Sep,17/09/2016,18/08/2017
Whale,2,13,18-Feb,05/03/2016,03/02/2017
Giant_panda,3,16,16-Mar,31/03/2016,01/03/2017
Snake,7,16,16-Jul,31/07/2016,01/07/2017
Dolphin,4,14,14-Apr,29/04/2016,30/03/2017
